index,mnemonic,positive,corner,pipeline_or_control,trap_or_illegal,evidence
1,ADDI,negative immediate,-2048 and 2047;x0 destination,EX/WB forwarding,n/a,tb/tb_CPU_Top.sv;tb/tb_Control_Unit.sv;programs/rv32i_directed.S
2,SLTI,signed comparison,negative operands;signed extrema,EX/WB forwarding,n/a,tb/tb_CPU_Top.sv;tb/tb_ALU.sv;programs/rv32i_directed.S
3,SLTIU,unsigned comparison,0xffffffff versus 1,EX/WB forwarding,n/a,tb/tb_CPU_Top.sv;tb/tb_ALU.sv;programs/rv32i_directed.S
4,XORI,bitwise immediate,-1 immediate,EX/WB forwarding,n/a,tb/tb_CPU_Top.sv;tb/tb_ALU.sv;programs/rv32i_directed.S
5,ORI,bitwise immediate,immediate bit pattern,EX/WB forwarding,n/a,tb/tb_CPU_Top.sv;tb/tb_ALU.sv;programs/rv32i_directed.S
6,ANDI,bitwise immediate,mask boundary,EX/WB forwarding,n/a,tb/tb_CPU_Top.sv;tb/tb_ALU.sv;programs/rv32i_directed.S
7,SLLI,left shift,shamt 0 and 31,EX/WB forwarding,reserved funct7 cause 2,tb/tb_CPU_Top.sv;tb/tb_CPU_Illegal.sv;programs/rv32i_directed.S
8,SRLI,logical right shift,shamt 0 and 31,EX/WB forwarding,reserved funct7 cause 2,tb/tb_CPU_Top.sv;tb/tb_CPU_Illegal.sv;programs/rv32i_directed.S
9,SRAI,arithmetic right shift,negative value;shamt 31,EX/WB forwarding,reserved funct7 cause 2,tb/tb_CPU_Top.sv;tb/tb_CPU_Illegal.sv;programs/rv32i_directed.S
10,ADD,register addition,wraparound;x0 operands,dual-source forwarding,reserved funct7 cause 2,tb/tb_CPU_Top.sv;tb/tb_CPU_Illegal.sv;programs/rv32i_directed.S
11,SUB,register subtraction,negative result,dual-source forwarding,reserved funct7 cause 2,tb/tb_CPU_Top.sv;tb/tb_CPU_Illegal.sv;programs/rv32i_directed.S
12,SLL,register shift,rs2 low five bits,dual-source forwarding,reserved funct7 cause 2,tb/tb_CPU_Top.sv;tb/tb_ALU.sv;programs/rv32i_directed.S
13,SLT,signed register comparison,0x80000000 versus 0x7fffffff,dual-source forwarding,reserved funct7 cause 2,tb/tb_CPU_Top.sv;tb/tb_ALU.sv;programs/rv32i_directed.S
14,SLTU,unsigned register comparison,0xffffffff versus 1,dual-source forwarding,reserved funct7 cause 2,tb/tb_CPU_Top.sv;tb/tb_ALU.sv;programs/rv32i_directed.S
15,XOR,register bitwise XOR,complementary patterns,dual-source forwarding,reserved funct7 cause 2,tb/tb_CPU_Top.sv;tb/tb_ALU.sv;programs/rv32i_directed.S
16,SRL,logical register shift,negative source interpreted unsigned,dual-source forwarding,reserved funct7 cause 2,tb/tb_CPU_Top.sv;tb/tb_ALU.sv;programs/rv32i_directed.S
17,SRA,arithmetic register shift,negative sign fill,dual-source forwarding,reserved funct7 cause 2,tb/tb_CPU_Top.sv;tb/tb_ALU.sv;programs/rv32i_directed.S
18,OR,register bitwise OR,overlapping patterns,dual-source forwarding,reserved funct7 cause 2,tb/tb_CPU_Top.sv;tb/tb_ALU.sv;programs/rv32i_directed.S
19,AND,register bitwise AND,mask pattern,dual-source forwarding,reserved funct7 cause 2,tb/tb_CPU_Top.sv;tb/tb_ALU.sv;programs/rv32i_directed.S
20,LUI,upper immediate,zero and high-bit immediate,no source dependency,n/a,tb/tb_CPU_Top.sv;tb/tb_Control_Unit.sv;programs/rv32i_directed.S
21,AUIPC,PC plus upper immediate,nonzero PC,no source dependency,n/a,tb/tb_CPU_Top.sv;tb/tb_CPU_Retire.sv;programs/rv32i_directed.S
22,BEQ,equal taken and unequal not-taken,positive and negative offset,forwarded operands;wrong-path kill,misaligned taken target cause 0,tb/tb_CPU_Branch.sv;tb/tb_CPU_Alignment.sv;programs/rv32i_directed.S
23,BNE,unequal taken and equal not-taken,positive and negative offset,forwarded operands;wrong-path kill,misaligned taken target cause 0,tb/tb_CPU_Branch.sv;tb/tb_CPU_Alignment.sv;programs/rv32i_directed.S
